Timestamp,Open,High,Low,Close,Volume
2023-04-13 18:15:00,127.7000,127.7000,127.7000,127.7000,184
2023-04-13 18:00:00,127.8000,127.8000,127.8000,127.8000,432
2023-04-13 17:30:00,127.8600,127.8600,127.8600,127.8600,110
2023-04-13 17:15:00,127.8600,127.9000,127.8600,127.9000,100790
2023-04-13 16:45:00,127.8599,127.8599,127.8599,127.8599,150
2023-04-13 16:25:00,127.9272,127.9272,127.9272,127.9272,500
2023-04-13 16:20:00,127.9000,127.9000,127.9000,127.9000,747
2023-04-13 16:10:00,127.9000,127.9000,127.9000,127.9000,3626
2023-04-13 16:05:00,127.9000,127.9000,127.9000,127.9000,72073
2023-04-13 16:00:00,127.8300,127.9400,127.7300,127.9400,336436
2023-04-13 15:55:00,128.0300,128.0724,127.7800,127.8300,210965
2023-04-13 15:50:00,128.2000,128.2700,127.9500,128.0399,162672
2023-04-13 15:45:00,128.1800,128.2850,128.1400,128.2100,88659
2023-04-13 15:40:00,128.2600,128.3100,128.1650,128.1700,80243
2023-04-13 15:35:00,128.3550,128.3650,128.2101,128.2600,57324
2023-04-13 15:30:00,128.3300,128.3600,128.2700,128.3550,39766
2023-04-13 15:25:00,128.2500,128.3900,128.2500,128.3350,60843
2023-04-13 15:20:00,128.1000,128.2600,128.0600,128.2600,49017
2023-04-13 15:15:00,128.0700,128.1400,128.0700,128.1079,60094
2023-04-13 15:10:00,128.0900,128.1250,128.0400,128.0800,39078
2023-04-13 15:05:00,128.2400,128.2900,128.0900,128.1000,46834
2023-04-13 15:00:00,128.1900,128.2550,128.1800,128.2400,33619
2023-04-13 14:55:00,128.0700,128.2000,128.0700,128.1900,37876
2023-04-13 14:50:00,128.0500,128.0800,127.9900,128.0700,34464
2023-04-13 14:45:00,128.1500,128.1500,128.0300,128.0400,37794
2023-04-13 14:40:00,128.0400,128.2150,128.0200,128.1500,47846
2023-04-13 14:35:00,128.0200,128.1700,128.0200,128.0400,115979
2023-04-13 14:30:00,127.9400,128.0400,127.9100,128.0199,45451
2023-04-13 14:25:00,127.9700,127.9700,127.8600,127.9350,33348
2023-04-13 14:20:00,127.8100,127.9600,127.8000,127.9600,41115
2023-04-13 14:15:00,127.6861,127.8200,127.6800,127.8100,33980
2023-04-13 14:10:00,127.6000,127.6900,127.5900,127.6700,26419
2023-04-13 14:05:00,127.5700,127.6000,127.4800,127.5907,28478
2023-04-13 14:00:00,127.5400,127.5913,127.5007,127.5700,26694
2023-04-13 13:55:00,127.4850,127.5600,127.4500,127.5425,30479
2023-04-13 13:50:00,127.4450,127.5600,127.4400,127.4826,35652
2023-04-13 13:45:00,127.4300,127.5100,127.4100,127.4495,45725
2023-04-13 13:40:00,127.3600,127.4300,127.2800,127.4100,40927
2023-04-13 13:35:00,127.2900,127.4200,127.2900,127.3500,38366
2023-04-13 13:30:00,127.2620,127.2900,127.1800,127.2800,31634
2023-04-13 13:25:00,127.3999,127.4600,127.2200,127.2768,47874
2023-04-13 13:20:00,127.2000,127.4000,127.2000,127.3900,43415
2023-04-13 13:15:00,127.1100,127.2400,127.0800,127.1950,37254
2023-04-13 13:10:00,127.1100,127.1400,127.0400,127.1150,51613
2023-04-13 13:05:00,127.1400,127.1950,127.0600,127.1100,37141
2023-04-13 13:00:00,126.9400,127.1562,126.9350,127.1431,31067
2023-04-13 12:55:00,126.9300,126.9700,126.8650,126.9500,28953
2023-04-13 12:50:00,126.9400,126.9600,126.8800,126.9300,23273
2023-04-13 12:45:00,126.9500,127.0200,126.8681,126.9200,30344
2023-04-13 12:40:00,127.0500,127.0900,126.9400,126.9500,33930
2023-04-13 12:35:00,127.0700,127.1450,127.0220,127.0599,41729
2023-04-13 12:30:00,127.0300,127.1150,127.0200,127.0737,36457
2023-04-13 12:25:00,126.7600,127.0299,126.7600,127.0299,26517
2023-04-13 12:20:00,126.7000,126.8000,126.6800,126.7600,38981
2023-04-13 12:15:00,126.6400,126.9500,126.6352,126.7300,55506
2023-04-13 12:10:00,126.6000,126.7200,126.5800,126.6400,52691
2023-04-13 12:05:00,126.6500,126.7100,126.5800,126.6000,46655
2023-04-13 12:00:00,126.6100,126.6800,126.5700,126.6700,50479
2023-04-13 11:55:00,126.7500,126.7500,126.5500,126.6300,63927
2023-04-13 11:50:00,126.7500,126.8187,126.6700,126.7700,34765
2023-04-13 11:45:00,126.7200,126.8050,126.7000,126.7450,41819
2023-04-13 11:40:00,126.6300,126.7500,126.5900,126.7100,43453
2023-04-13 11:35:00,126.7200,126.7600,126.6200,126.6300,43167
2023-04-13 11:30:00,126.6600,126.8299,126.6300,126.7200,40336
2023-04-13 11:25:00,126.5860,126.6600,126.5600,126.6500,36893
2023-04-13 11:20:00,126.6400,126.6600,126.5150,126.6000,45002
2023-04-13 11:15:00,126.7100,126.7800,126.6000,126.6500,44407
2023-04-13 11:10:00,126.5500,126.7701,126.5500,126.7200,54038
2023-04-13 11:05:00,126.6400,126.6428,126.5200,126.5450,44335
2023-04-13 11:00:00,126.6700,126.7200,126.6300,126.6400,44247
2023-04-13 10:55:00,126.6500,126.8100,126.6500,126.6800,46791
2023-04-13 10:50:00,126.7650,126.7650,126.5600,126.6400,44484
2023-04-13 10:45:00,126.7300,126.8400,126.6900,126.7700,47629
2023-04-13 10:40:00,126.7800,126.8700,126.7450,126.7450,43822
2023-04-13 10:35:00,126.8150,126.8800,126.7000,126.7600,60883
2023-04-13 10:30:00,126.8300,126.9000,126.7300,126.8046,39188
2023-04-13 10:25:00,126.9700,127.1600,126.7450,126.8300,83279
2023-04-13 10:20:00,126.5300,126.9800,126.5300,126.9600,129027
2023-04-13 10:15:00,126.2289,126.5400,126.0000,126.5300,132543
2023-04-13 10:10:00,126.3600,126.4150,126.2100,126.2250,59714
2023-04-13 10:05:00,126.3700,126.4600,126.2000,126.3500,107259
2023-04-13 10:00:00,126.4600,126.6000,126.3000,126.3600,63565
2023-04-13 09:55:00,126.6150,126.6650,126.4200,126.4850,44991
2023-04-13 09:50:00,126.3700,126.7300,126.2300,126.6200,93306
2023-04-13 09:45:00,126.4600,126.5650,126.1900,126.3900,96484
2023-04-13 09:40:00,126.3900,126.8599,126.2800,126.4650,83551
2023-04-13 09:35:00,128.0100,128.0300,126.2410,126.3800,227676
2023-04-13 09:30:00,128.6500,128.6500,128.1500,128.1500,1717
2023-04-13 09:25:00,128.8800,128.8800,128.6400,128.6400,961
2023-04-13 09:00:00,129.2800,129.2800,129.2400,129.2400,371
2023-04-13 08:50:00,128.9700,128.9700,128.9700,128.9700,100
2023-04-13 07:40:00,128.9000,128.9000,128.9000,128.9000,209
2023-04-12 19:55:00,128.5500,128.5500,128.5500,128.5500,160
2023-04-12 17:55:00,128.7800,128.7800,128.7800,128.7800,100
2023-04-12 17:35:00,128.6200,129.1500,128.5500,128.7100,1868
2023-04-12 17:25:00,128.5500,128.5500,128.5500,128.5500,130
2023-04-12 16:55:00,128.5400,128.5400,128.5400,128.5400,1008
2023-04-12 16:40:00,128.5400,128.5400,128.5000,128.5000,2043
2023-04-12 16:20:00,128.5400,128.5400,128.5400,128.5400,76325
2023-04-12 16:15:00,128.7840,128.7840,128.5400,128.5400,1439
